date,plant,vehicle_model,part_name,supplier,defect_type,inspection_method,production_volume,defect_count,rework_cost,warranty_cost,test_stage,failure_mode,severity_score
2024-09-17,Plant-C,Utility-A,Front Bumper,Supplier-Beta,Warping,Manual,1450,24,3655,15296,PV,Dimensional Variation,1
2024-01-03,Plant-B,SUV-B,Dashboard Panel,Supplier-Delta,Warping,Automated,1004,15,10439,19862,PV,Material Crack,1
2024-04-13,Plant-B,Offroad-A,Door Trim,Supplier-Gamma,Scratch,Automated,1422,12,3800,4920,Production,Dimensional Variation,8
2024-08-11,Plant-B,SUV-A,Dashboard Panel,Supplier-Gamma,Scratch,Automated,903,14,10524,3240,PV,Loose Mounting,8
2024-11-15,Plant-B,SUV-A,Door Trim,Supplier-Gamma,Fitment Gap,Manual,722,21,6050,10431,Production,Loose Mounting,7
2024-12-27,Plant-C,Offroad-A,Rear Bumper,Supplier-Alpha,Scratch,Automated,899,21,14660,13005,PV,Dimensional Variation,8
2024-12-19,Plant-C,SUV-B,Front Bumper,Supplier-Gamma,Paint Defect,Automated,961,15,8933,11301,DV,Dimensional Variation,7
2024-01-10,Plant-D,SUV-B,Dashboard Panel,Supplier-Beta,Scratch,Manual,1059,15,14924,15997,Production,Dimensional Variation,8
2024-10-28,Plant-C,SUV-A,Dashboard Panel,Supplier-Alpha,Fitment Gap,Automated,531,15,8888,2752,DV,Dimensional Variation,2
2024-08-18,Plant-C,Offroad-A,Front Bumper,Supplier-Gamma,Crack,Automated,988,14,1893,5475,Production,Dimensional Variation,5
2024-08-06,Plant-D,SUV-A,Fender Cladding,Supplier-Beta,Paint Defect,Automated,787,14,7494,8361,DV,Loose Mounting,6
2024-03-06,Plant-C,SUV-A,Door Trim,Supplier-Gamma,Crack,Manual,936,13,9018,3316,Production,Surface Damage,8
2024-04-21,Plant-B,Utility-A,Door Trim,Supplier-Beta,Paint Defect,Manual,879,13,7806,10611,DV,Paint Peeling,1
2024-01-13,Plant-A,SUV-B,Rear Bumper,Supplier-Beta,Fitment Gap,Automated,936,14,3033,7749,Production,Loose Mounting,4
2024-03-26,Plant-A,SUV-B,Fender Cladding,Supplier-Gamma,Scratch,Automated,629,20,6794,10006,PV,Dimensional Variation,7
2024-08-21,Plant-D,Utility-A,Fender Cladding,Supplier-Gamma,Crack,Manual,940,14,2293,19204,Production,Surface Damage,8
2024-03-30,Plant-C,SUV-B,Rear Bumper,Supplier-Alpha,Crack,Manual,992,9,2600,18299,Production,Surface Damage,5
2024-11-09,Plant-C,SUV-B,Dashboard Panel,Supplier-Gamma,Scratch,Manual,1289,19,14680,6290,Production,Paint Peeling,6
2024-02-23,Plant-D,SUV-B,Front Bumper,Supplier-Beta,Fitment Gap,Automated,1496,19,10184,2546,PV,Material Crack,8
2024-01-12,Plant-A,Offroad-A,Dashboard Panel,Supplier-Delta,Scratch,Automated,744,19,7192,2384,DV,Material Crack,8
2024-07-27,Plant-B,Utility-A,Wheel Arch Cladding,Supplier-Alpha,Warping,Manual,551,13,6795,15993,PV,Material Crack,8
2024-01-14,Plant-C,SUV-A,Rear Bumper,Supplier-Beta,Warping,Manual,1220,21,9832,7088,PV,Material Crack,3
2024-04-30,Plant-D,Offroad-A,Front Bumper,Supplier-Beta,Warping,Automated,1363,13,6971,5946,DV,Loose Mounting,3
2024-01-20,Plant-B,SUV-A,Dashboard Panel,Supplier-Delta,Crack,Manual,729,13,7677,6719,Production,Loose Mounting,8
2024-03-15,Plant-D,Utility-A,Dashboard Panel,Supplier-Gamma,Crack,Automated,964,12,14218,15655,Production,Dimensional Variation,7
2024-08-30,Plant-D,Utility-A,Fender Cladding,Supplier-Beta,Fitment Gap,Manual,685,14,12266,18376,DV,Surface Damage,2
2024-08-10,Plant-D,Utility-A,Rear Bumper,Supplier-Delta,Paint Defect,Automated,661,14,6515,8754,PV,Loose Mounting,10
2024-03-10,Plant-A,SUV-B,Wheel Arch Cladding,Supplier-Delta,Scratch,Manual,698,17,11986,7756,DV,Loose Mounting,2
2024-11-07,Plant-A,Offroad-A,Door Trim,Supplier-Gamma,Paint Defect,Automated,1488,10,6889,3402,Production,Paint Peeling,8
2024-07-29,Plant-D,Utility-A,Rear Bumper,Supplier-Delta,Crack,Manual,900,7,4411,4639,DV,Loose Mounting,3
2024-04-10,Plant-C,SUV-A,Wheel Arch Cladding,Supplier-Delta,Scratch,Automated,971,13,10920,6713,DV,Material Crack,1
2024-07-04,Plant-B,SUV-B,Wheel Arch Cladding,Supplier-Delta,Crack,Automated,955,18,12705,13632,Production,Loose Mounting,2
2024-05-11,Plant-C,SUV-B,Rear Bumper,Supplier-Delta,Fitment Gap,Automated,1290,8,1315,3101,PV,Material Crack,8
2024-04-20,Plant-A,Offroad-A,Front Bumper,Supplier-Delta,Scratch,Manual,1044,20,14352,17545,DV,Loose Mounting,7
2024-05-11,Plant-B,Offroad-A,Rear Bumper,Supplier-Delta,Crack,Automated,912,13,10431,5986,Production,Dimensional Variation,6
2024-01-20,Plant-D,Offroad-A,Dashboard Panel,Supplier-Beta,Warping,Automated,1030,17,5339,16457,Production,Dimensional Variation,3
2024-01-24,Plant-C,SUV-B,Fender Cladding,Supplier-Alpha,Warping,Automated,620,14,5569,15001,PV,Paint Peeling,7
2024-08-14,Plant-C,Utility-A,Dashboard Panel,Supplier-Gamma,Crack,Manual,568,16,10994,18820,Production,Surface Damage,8
2024-06-02,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Manual,792,18,7323,19305,PV,Paint Peeling,10
2024-10-19,Plant-C,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Fitment Gap,Manual,1226,11,3227,12125,Production,Loose Mounting,7
2024-08-17,Plant-A,SUV-A,Door Trim,Supplier-Alpha,Fitment Gap,Automated,1134,17,3922,19295,DV,Loose Mounting,9
2024-11-05,Plant-D,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Crack,Manual,909,14,6437,5101,DV,Loose Mounting,9
2024-12-24,Plant-C,Offroad-A,Door Trim,Supplier-Delta,Fitment Gap,Automated,779,10,11309,5174,DV,Loose Mounting,6
2024-07-20,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Alpha,Scratch,Manual,1065,8,1551,18448,Production,Material Crack,2
2024-02-07,Plant-B,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Fitment Gap,Manual,1032,16,4697,14662,DV,Surface Damage,10
2024-09-16,Plant-D,SUV-A,Rear Bumper,Supplier-Gamma,Warping,Manual,1108,13,10669,18614,PV,Dimensional Variation,1
2024-07-06,Plant-C,SUV-B,Rear Bumper,Supplier-Gamma,Crack,Automated,1357,19,5240,11536,DV,Surface Damage,8
2024-02-26,Plant-A,Utility-A,Fender Cladding,Supplier-Beta,Scratch,Automated,1149,18,2686,11832,DV,Material Crack,10
2024-01-20,Plant-D,Offroad-A,Dashboard Panel,Supplier-Delta,Fitment Gap,Manual,1053,20,12998,7289,Production,Loose Mounting,1
2024-09-29,Plant-D,SUV-A,Front Bumper,Supplier-Delta,Warping,Manual,1424,19,13367,16148,PV,Material Crack,9
2024-04-28,Plant-C,SUV-B,Fender Cladding,Supplier-Beta,Paint Defect,Automated,1452,18,10778,5039,PV,Dimensional Variation,8
2024-03-11,Plant-A,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Fitment Gap,Automated,1257,15,7968,16073,DV,Surface Damage,8
2024-01-04,Plant-A,Offroad-A,Fender Cladding,Supplier-Delta,Warping,Automated,918,15,3645,15346,PV,Loose Mounting,10
2024-08-08,Plant-B,Offroad-A,Rear Bumper,Supplier-Gamma,Warping,Automated,527,19,10871,2734,DV,Paint Peeling,10
2024-01-14,Plant-B,Offroad-A,Dashboard Panel,Supplier-Delta,Warping,Manual,895,15,5268,8187,PV,Dimensional Variation,5
2024-01-03,Plant-C,Utility-A,Wheel Arch Cladding,Supplier-Alpha,Warping,Manual,1069,20,13476,9667,Production,Loose Mounting,7
2024-08-03,Plant-A,Utility-A,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Manual,1138,20,3827,4863,DV,Paint Peeling,6
2024-08-16,Plant-A,Utility-A,Fender Cladding,Supplier-Delta,Crack,Automated,927,20,8368,12033,DV,Dimensional Variation,9
2024-12-01,Plant-B,Offroad-A,Dashboard Panel,Supplier-Delta,Warping,Automated,1274,16,9197,7615,PV,Loose Mounting,5
2024-07-04,Plant-B,SUV-A,Door Trim,Supplier-Delta,Crack,Manual,643,18,4971,13220,DV,Paint Peeling,9
2024-02-24,Plant-C,SUV-B,Front Bumper,Supplier-Beta,Paint Defect,Manual,1479,20,5709,10009,Production,Loose Mounting,2
2024-09-10,Plant-A,Utility-A,Dashboard Panel,Supplier-Delta,Paint Defect,Manual,592,19,4961,13354,DV,Surface Damage,1
2024-01-24,Plant-D,SUV-A,Fender Cladding,Supplier-Beta,Scratch,Manual,534,18,12465,12016,Production,Surface Damage,2
2024-06-10,Plant-B,SUV-B,Fender Cladding,Supplier-Beta,Scratch,Manual,1103,12,4815,3551,DV,Paint Peeling,3
2024-06-06,Plant-C,Offroad-A,Front Bumper,Supplier-Alpha,Warping,Automated,1274,14,7306,15060,PV,Surface Damage,2
2024-03-22,Plant-A,SUV-A,Wheel Arch Cladding,Supplier-Delta,Crack,Manual,969,17,2070,16763,Production,Surface Damage,1
2024-06-07,Plant-A,Offroad-A,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Automated,1025,5,11836,5183,PV,Dimensional Variation,7
2024-07-06,Plant-B,SUV-B,Door Trim,Supplier-Alpha,Fitment Gap,Automated,814,18,1116,16554,DV,Material Crack,5
2024-02-29,Plant-C,Utility-A,Fender Cladding,Supplier-Beta,Scratch,Automated,983,17,4346,10461,DV,Surface Damage,2
2024-10-31,Plant-D,Offroad-A,Front Bumper,Supplier-Gamma,Scratch,Manual,1329,15,3330,15176,DV,Paint Peeling,4
2024-11-14,Plant-B,SUV-A,Fender Cladding,Supplier-Beta,Fitment Gap,Automated,1213,13,9330,11551,PV,Dimensional Variation,3
2024-07-29,Plant-C,Utility-A,Rear Bumper,Supplier-Alpha,Crack,Manual,875,18,9517,10028,PV,Paint Peeling,6
2024-05-31,Plant-A,SUV-A,Fender Cladding,Supplier-Beta,Crack,Manual,1333,18,8354,18853,DV,Surface Damage,3
2024-04-18,Plant-D,SUV-B,Fender Cladding,Supplier-Beta,Crack,Automated,1289,12,1552,12090,DV,Loose Mounting,10
2024-03-16,Plant-C,SUV-B,Rear Bumper,Supplier-Beta,Warping,Manual,1155,12,13970,2069,Production,Loose Mounting,9
2024-01-30,Plant-D,Utility-A,Rear Bumper,Supplier-Delta,Warping,Automated,1366,21,7171,4170,DV,Surface Damage,7
2024-11-09,Plant-C,SUV-A,Front Bumper,Supplier-Beta,Fitment Gap,Manual,987,11,1574,11842,Production,Loose Mounting,3
2024-04-26,Plant-C,SUV-A,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Manual,995,15,6954,12030,PV,Material Crack,10
2024-12-21,Plant-C,SUV-A,Door Trim,Supplier-Beta,Fitment Gap,Automated,1470,19,2452,5674,DV,Paint Peeling,4
2024-07-10,Plant-C,SUV-A,Rear Bumper,Supplier-Delta,Paint Defect,Automated,875,11,4351,10028,PV,Material Crack,2
2024-01-19,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Alpha,Fitment Gap,Manual,990,11,12620,16482,DV,Dimensional Variation,1
2024-06-21,Plant-B,SUV-A,Front Bumper,Supplier-Beta,Warping,Automated,798,15,14004,17421,Production,Surface Damage,2
2024-08-15,Plant-D,SUV-B,Dashboard Panel,Supplier-Alpha,Crack,Automated,852,14,9639,11865,Production,Paint Peeling,2
2024-12-15,Plant-C,SUV-A,Fender Cladding,Supplier-Delta,Scratch,Manual,853,19,4406,14042,DV,Surface Damage,6
2024-07-01,Plant-D,SUV-A,Front Bumper,Supplier-Gamma,Fitment Gap,Automated,1383,16,1456,16571,Production,Surface Damage,4
2024-04-22,Plant-D,Offroad-A,Front Bumper,Supplier-Delta,Fitment Gap,Automated,980,19,4366,10797,DV,Material Crack,4
2024-07-01,Plant-D,Offroad-A,Rear Bumper,Supplier-Delta,Scratch,Manual,1478,14,12385,10003,PV,Loose Mounting,4
2024-05-25,Plant-C,SUV-A,Door Trim,Supplier-Alpha,Fitment Gap,Automated,903,20,2580,18015,PV,Loose Mounting,5
2024-11-14,Plant-D,SUV-B,Rear Bumper,Supplier-Alpha,Crack,Manual,893,15,13092,4747,Production,Paint Peeling,9
2024-04-25,Plant-A,SUV-A,Fender Cladding,Supplier-Gamma,Scratch,Automated,902,14,3513,7247,PV,Paint Peeling,7
2024-04-22,Plant-C,Offroad-A,Rear Bumper,Supplier-Gamma,Scratch,Manual,1256,5,14482,19634,Production,Paint Peeling,5
2024-09-07,Plant-D,SUV-A,Fender Cladding,Supplier-Gamma,Crack,Automated,990,14,13287,2904,DV,Dimensional Variation,1
2024-09-07,Plant-A,Offroad-A,Rear Bumper,Supplier-Delta,Crack,Manual,1023,13,14812,7040,Production,Loose Mounting,7
2024-10-29,Plant-D,SUV-A,Dashboard Panel,Supplier-Delta,Scratch,Manual,893,9,10922,5363,Production,Dimensional Variation,9
2024-11-08,Plant-B,Utility-A,Door Trim,Supplier-Gamma,Crack,Manual,1082,10,11075,3288,DV,Paint Peeling,7
2024-04-27,Plant-D,SUV-A,Dashboard Panel,Supplier-Gamma,Crack,Automated,1195,15,10641,19695,PV,Material Crack,3
2024-10-27,Plant-D,SUV-B,Wheel Arch Cladding,Supplier-Gamma,Crack,Manual,603,10,11024,2749,PV,Paint Peeling,5
2024-06-09,Plant-B,Offroad-A,Door Trim,Supplier-Beta,Scratch,Manual,510,12,7702,7944,PV,Material Crack,8
2024-07-16,Plant-C,Utility-A,Rear Bumper,Supplier-Beta,Fitment Gap,Automated,1219,15,1938,18729,Production,Loose Mounting,7
2024-09-16,Plant-B,Offroad-A,Front Bumper,Supplier-Gamma,Paint Defect,Manual,724,21,9313,11362,DV,Surface Damage,5
2024-05-27,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Delta,Scratch,Manual,816,24,13950,2884,PV,Surface Damage,10
2024-08-27,Plant-B,SUV-B,Front Bumper,Supplier-Alpha,Paint Defect,Manual,1393,13,14385,7443,Production,Paint Peeling,9
2024-02-16,Plant-D,SUV-A,Dashboard Panel,Supplier-Delta,Crack,Manual,921,16,11597,3343,Production,Loose Mounting,10
2024-07-16,Plant-D,SUV-B,Door Trim,Supplier-Alpha,Crack,Automated,772,14,12960,4700,Production,Material Crack,4
2024-02-16,Plant-C,SUV-A,Wheel Arch Cladding,Supplier-Gamma,Fitment Gap,Automated,553,8,2100,3711,DV,Surface Damage,7
2024-03-18,Plant-C,Utility-A,Dashboard Panel,Supplier-Beta,Crack,Automated,672,11,3830,2627,DV,Surface Damage,6
2024-05-03,Plant-A,SUV-B,Rear Bumper,Supplier-Beta,Paint Defect,Manual,746,9,7043,3455,Production,Loose Mounting,3
2024-03-15,Plant-A,SUV-B,Front Bumper,Supplier-Alpha,Scratch,Automated,1164,9,2548,5783,PV,Material Crack,2
2024-12-24,Plant-D,Offroad-A,Rear Bumper,Supplier-Gamma,Scratch,Manual,1117,7,6410,2063,Production,Surface Damage,5
2024-05-16,Plant-D,SUV-B,Fender Cladding,Supplier-Beta,Fitment Gap,Manual,658,22,7273,4429,PV,Loose Mounting,7
2024-03-30,Plant-A,SUV-A,Wheel Arch Cladding,Supplier-Gamma,Paint Defect,Automated,605,20,12324,5399,Production,Loose Mounting,9
2024-11-20,Plant-A,SUV-B,Front Bumper,Supplier-Gamma,Crack,Manual,1204,19,9000,12248,DV,Dimensional Variation,1
2024-03-01,Plant-C,SUV-B,Door Trim,Supplier-Alpha,Warping,Manual,794,19,7568,12460,PV,Loose Mounting,2
2024-05-17,Plant-B,Utility-A,Door Trim,Supplier-Gamma,Fitment Gap,Automated,775,13,9669,19942,DV,Surface Damage,1
2024-02-19,Plant-C,SUV-A,Door Trim,Supplier-Gamma,Fitment Gap,Automated,1084,18,14827,11115,DV,Material Crack,4
2024-09-15,Plant-A,Offroad-A,Dashboard Panel,Supplier-Alpha,Warping,Manual,542,10,6044,7774,DV,Loose Mounting,9
2024-04-16,Plant-D,SUV-A,Door Trim,Supplier-Beta,Scratch,Manual,1383,11,11861,9737,DV,Surface Damage,8
2024-04-22,Plant-A,Utility-A,Front Bumper,Supplier-Delta,Scratch,Manual,693,13,11711,13905,PV,Dimensional Variation,4
2024-12-15,Plant-D,SUV-A,Dashboard Panel,Supplier-Gamma,Scratch,Manual,1140,14,10229,6817,DV,Material Crack,10
2024-09-10,Plant-D,SUV-A,Fender Cladding,Supplier-Alpha,Warping,Automated,810,19,13944,15545,PV,Paint Peeling,6
2024-04-27,Plant-D,SUV-B,Door Trim,Supplier-Beta,Crack,Automated,1119,16,8309,3842,Production,Paint Peeling,6
2024-07-16,Plant-D,SUV-B,Door Trim,Supplier-Gamma,Crack,Manual,602,16,1743,16867,Production,Loose Mounting,3
2024-12-02,Plant-B,SUV-A,Dashboard Panel,Supplier-Delta,Paint Defect,Automated,1446,17,8654,3676,Production,Paint Peeling,1
2024-12-30,Plant-A,SUV-A,Door Trim,Supplier-Beta,Paint Defect,Manual,1144,15,6160,6724,Production,Material Crack,8
2024-02-20,Plant-C,Offroad-A,Fender Cladding,Supplier-Alpha,Scratch,Automated,749,15,1829,8679,Production,Material Crack,6
2024-09-01,Plant-D,Utility-A,Dashboard Panel,Supplier-Gamma,Warping,Automated,895,10,14107,2937,DV,Surface Damage,5
2024-02-04,Plant-D,SUV-B,Dashboard Panel,Supplier-Alpha,Fitment Gap,Manual,1281,9,13570,8957,Production,Paint Peeling,7
2024-10-28,Plant-C,SUV-B,Wheel Arch Cladding,Supplier-Delta,Crack,Automated,1455,17,9231,12172,DV,Paint Peeling,6
2024-03-09,Plant-C,SUV-B,Dashboard Panel,Supplier-Delta,Warping,Manual,1114,15,1034,4378,DV,Surface Damage,8
2024-12-14,Plant-D,SUV-B,Door Trim,Supplier-Alpha,Paint Defect,Automated,1491,12,9286,11150,PV,Paint Peeling,5
2024-11-15,Plant-C,SUV-A,Dashboard Panel,Supplier-Gamma,Crack,Automated,795,15,4770,19811,DV,Paint Peeling,9
2024-02-18,Plant-C,SUV-A,Door Trim,Supplier-Alpha,Crack,Manual,737,17,5064,6642,PV,Material Crack,10
2024-03-14,Plant-B,Offroad-A,Door Trim,Supplier-Beta,Warping,Automated,1119,9,6808,8604,DV,Paint Peeling,9
2024-07-10,Plant-C,SUV-B,Dashboard Panel,Supplier-Alpha,Paint Defect,Automated,1148,10,13298,14013,Production,Paint Peeling,5
2024-09-17,Plant-A,SUV-B,Wheel Arch Cladding,Supplier-Delta,Warping,Manual,1437,17,12002,16600,DV,Paint Peeling,7
2024-12-21,Plant-A,SUV-A,Door Trim,Supplier-Gamma,Fitment Gap,Automated,1309,20,1249,6062,DV,Dimensional Variation,2
2024-03-10,Plant-A,Offroad-A,Wheel Arch Cladding,Supplier-Gamma,Crack,Automated,788,18,7735,4467,DV,Paint Peeling,5
2024-03-30,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Delta,Warping,Manual,1036,18,8557,18397,DV,Dimensional Variation,6
2024-09-16,Plant-A,SUV-B,Dashboard Panel,Supplier-Delta,Warping,Manual,1129,7,1865,3962,Production,Dimensional Variation,4
2024-05-05,Plant-B,SUV-B,Rear Bumper,Supplier-Beta,Fitment Gap,Automated,1241,12,9572,7654,PV,Paint Peeling,3
2024-08-18,Plant-A,Utility-A,Rear Bumper,Supplier-Delta,Warping,Automated,1345,14,4880,7599,PV,Surface Damage,9
2024-10-21,Plant-D,Utility-A,Door Trim,Supplier-Delta,Crack,Manual,755,19,4743,5055,Production,Paint Peeling,6
2024-05-08,Plant-B,Utility-A,Front Bumper,Supplier-Delta,Scratch,Manual,1020,14,6140,17567,PV,Dimensional Variation,9
2024-10-06,Plant-A,Offroad-A,Rear Bumper,Supplier-Gamma,Scratch,Automated,618,17,14148,12442,Production,Paint Peeling,9
2024-11-08,Plant-B,SUV-A,Dashboard Panel,Supplier-Delta,Paint Defect,Automated,618,16,6367,8428,PV,Surface Damage,3
2024-04-09,Plant-B,SUV-B,Dashboard Panel,Supplier-Alpha,Fitment Gap,Manual,590,18,6111,10193,DV,Surface Damage,10
2024-11-21,Plant-D,SUV-B,Rear Bumper,Supplier-Alpha,Paint Defect,Automated,671,12,12140,9823,DV,Loose Mounting,4
2024-10-23,Plant-D,Offroad-A,Front Bumper,Supplier-Gamma,Scratch,Automated,1222,20,7555,2079,Production,Material Crack,6
2024-06-30,Plant-B,SUV-B,Fender Cladding,Supplier-Beta,Fitment Gap,Manual,1325,12,5721,13418,DV,Paint Peeling,10
2024-06-22,Plant-A,SUV-B,Door Trim,Supplier-Beta,Warping,Automated,1420,28,5554,3098,DV,Loose Mounting,3
2024-11-11,Plant-D,SUV-A,Fender Cladding,Supplier-Gamma,Warping,Automated,615,24,9442,12021,Production,Loose Mounting,1
2024-12-29,Plant-B,Utility-A,Fender Cladding,Supplier-Alpha,Crack,Manual,1299,20,11053,3715,Production,Loose Mounting,10
2024-07-06,Plant-C,Utility-A,Wheel Arch Cladding,Supplier-Gamma,Scratch,Automated,1033,11,3970,13703,Production,Surface Damage,3
2024-02-26,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Delta,Warping,Automated,848,15,8005,4353,DV,Paint Peeling,3
2024-01-31,Plant-D,Utility-A,Door Trim,Supplier-Gamma,Fitment Gap,Manual,1066,18,4764,6551,Production,Paint Peeling,1
2024-03-24,Plant-A,Utility-A,Front Bumper,Supplier-Beta,Warping,Manual,975,19,5655,18697,Production,Paint Peeling,5
2024-05-31,Plant-C,Offroad-A,Wheel Arch Cladding,Supplier-Alpha,Paint Defect,Manual,944,19,2490,5419,PV,Dimensional Variation,9
2024-02-05,Plant-C,Offroad-A,Rear Bumper,Supplier-Beta,Paint Defect,Automated,607,13,7605,18133,DV,Material Crack,4
2024-07-31,Plant-C,Utility-A,Door Trim,Supplier-Beta,Paint Defect,Automated,1452,7,9249,9874,Production,Dimensional Variation,2
2024-12-29,Plant-A,SUV-A,Dashboard Panel,Supplier-Alpha,Paint Defect,Automated,1088,14,14448,2261,PV,Surface Damage,5
2024-04-15,Plant-A,Offroad-A,Fender Cladding,Supplier-Delta,Paint Defect,Automated,1072,14,8478,9040,DV,Loose Mounting,3
2024-12-07,Plant-D,SUV-B,Door Trim,Supplier-Alpha,Crack,Manual,621,14,3348,8222,DV,Loose Mounting,4
2024-08-07,Plant-D,Offroad-A,Dashboard Panel,Supplier-Alpha,Paint Defect,Manual,1103,14,4227,12396,Production,Dimensional Variation,7
2024-06-11,Plant-C,SUV-B,Dashboard Panel,Supplier-Gamma,Crack,Manual,1334,13,5251,6430,PV,Surface Damage,4
2024-08-07,Plant-A,Offroad-A,Wheel Arch Cladding,Supplier-Alpha,Crack,Automated,721,15,7425,2895,DV,Material Crack,4
2024-09-26,Plant-B,Offroad-A,Dashboard Panel,Supplier-Gamma,Warping,Manual,958,19,3810,8911,PV,Material Crack,1
2024-04-29,Plant-C,Utility-A,Front Bumper,Supplier-Beta,Fitment Gap,Automated,1141,18,8363,5642,PV,Loose Mounting,1
2024-12-01,Plant-D,Utility-A,Dashboard Panel,Supplier-Alpha,Paint Defect,Automated,997,12,1194,11139,Production,Loose Mounting,6
2024-06-30,Plant-A,Utility-A,Dashboard Panel,Supplier-Delta,Fitment Gap,Automated,869,12,12216,7158,Production,Paint Peeling,3
2024-04-15,Plant-D,SUV-A,Fender Cladding,Supplier-Gamma,Scratch,Manual,1452,18,6861,8076,DV,Dimensional Variation,3
2024-08-04,Plant-D,Utility-A,Front Bumper,Supplier-Gamma,Crack,Automated,1259,15,10121,2521,PV,Loose Mounting,6
2024-07-23,Plant-A,Utility-A,Door Trim,Supplier-Delta,Scratch,Automated,620,19,5651,13340,DV,Surface Damage,4
2024-03-10,Plant-C,Offroad-A,Front Bumper,Supplier-Gamma,Crack,Manual,700,11,4403,8918,DV,Material Crack,2
2024-02-13,Plant-A,Offroad-A,Front Bumper,Supplier-Gamma,Paint Defect,Manual,660,13,2752,16242,DV,Material Crack,1
2024-11-24,Plant-C,SUV-A,Door Trim,Supplier-Delta,Scratch,Automated,1261,16,12540,7110,DV,Surface Damage,3
2024-10-27,Plant-D,SUV-B,Fender Cladding,Supplier-Beta,Warping,Automated,717,20,2425,9505,Production,Material Crack,5
2024-08-15,Plant-A,Offroad-A,Dashboard Panel,Supplier-Alpha,Scratch,Automated,1074,12,13323,10198,DV,Dimensional Variation,6
2024-07-02,Plant-B,Offroad-A,Front Bumper,Supplier-Alpha,Crack,Manual,899,18,3629,15831,PV,Surface Damage,4
2024-04-16,Plant-C,SUV-B,Front Bumper,Supplier-Alpha,Crack,Manual,1228,12,9659,2870,Production,Paint Peeling,5
2024-03-24,Plant-B,SUV-A,Door Trim,Supplier-Alpha,Fitment Gap,Manual,884,23,5788,3779,Production,Material Crack,2
2024-12-03,Plant-C,Offroad-A,Rear Bumper,Supplier-Alpha,Scratch,Manual,1352,18,5862,2892,DV,Dimensional Variation,6
2024-09-06,Plant-A,Utility-A,Front Bumper,Supplier-Alpha,Warping,Manual,563,14,12743,5188,Production,Loose Mounting,9
2024-12-28,Plant-B,SUV-A,Wheel Arch Cladding,Supplier-Gamma,Paint Defect,Automated,711,15,6342,18169,PV,Surface Damage,8
2024-01-21,Plant-A,SUV-B,Dashboard Panel,Supplier-Alpha,Fitment Gap,Automated,1131,16,2491,18537,DV,Loose Mounting,4
2024-07-14,Plant-C,SUV-B,Dashboard Panel,Supplier-Gamma,Scratch,Automated,568,15,12890,14645,PV,Paint Peeling,5
2024-06-26,Plant-C,Utility-A,Fender Cladding,Supplier-Delta,Fitment Gap,Automated,623,20,1126,2009,PV,Loose Mounting,10
2024-01-07,Plant-C,Utility-A,Front Bumper,Supplier-Beta,Scratch,Manual,876,18,5088,9496,Production,Material Crack,9
2024-03-10,Plant-C,Utility-A,Door Trim,Supplier-Gamma,Paint Defect,Manual,1156,14,6725,5339,PV,Material Crack,5
2024-05-06,Plant-D,SUV-A,Wheel Arch Cladding,Supplier-Beta,Paint Defect,Automated,795,11,6378,13292,Production,Material Crack,7
2024-06-08,Plant-C,SUV-B,Door Trim,Supplier-Delta,Warping,Automated,857,18,3771,8164,Production,Material Crack,7
2024-09-04,Plant-B,Utility-A,Front Bumper,Supplier-Alpha,Fitment Gap,Manual,1140,10,13807,9465,Production,Surface Damage,8
2024-07-21,Plant-C,Utility-A,Wheel Arch Cladding,Supplier-Beta,Warping,Automated,1024,13,5351,3867,DV,Dimensional Variation,7
2024-05-27,Plant-A,SUV-B,Fender Cladding,Supplier-Beta,Scratch,Automated,1285,17,9148,14889,Production,Material Crack,2
2024-05-22,Plant-D,Offroad-A,Fender Cladding,Supplier-Delta,Paint Defect,Manual,567,9,10007,9771,PV,Paint Peeling,8
2024-07-17,Plant-B,SUV-A,Fender Cladding,Supplier-Delta,Paint Defect,Automated,1378,15,13694,2678,Production,Paint Peeling,7
2024-06-02,Plant-D,Offroad-A,Rear Bumper,Supplier-Delta,Crack,Manual,769,16,8797,16906,Production,Material Crack,7
2024-05-21,Plant-D,Utility-A,Door Trim,Supplier-Gamma,Crack,Automated,632,15,2536,4510,Production,Dimensional Variation,5
2024-11-08,Plant-D,SUV-A,Front Bumper,Supplier-Gamma,Warping,Automated,561,11,1001,15466,PV,Paint Peeling,2
2024-06-13,Plant-A,Offroad-A,Wheel Arch Cladding,Supplier-Beta,Fitment Gap,Automated,660,18,4657,19768,Production,Surface Damage,1
2024-11-09,Plant-D,SUV-B,Dashboard Panel,Supplier-Delta,Scratch,Manual,525,18,5388,2994,PV,Dimensional Variation,6
